equipment_id,equipment_type,operating_hours,downtime_hours,utilization_rate,maintenance_cost
EQP-00481,Crane,15807,67.44,0.9958,513.15
EQP-00482,Crane,14206,67.5,0.9953,11554.03
EQP-00483,Compressor,14482,11.05,0.9992,879.48
EQP-00484,Forklift,564,56.05,0.9096,1836.63
EQP-00485,Manlift,11903,79.13,0.9934,20436.44
EQP-00486,Generator,13167,11.43,0.9991,1139.17
EQP-00487,Manlift,9601,35.84,0.9963,217.8
EQP-00488,Excavator,10892,5.09,0.9995,1001.32
EQP-00489,Crane,6271,116.29,0.9818,4001.58
EQP-00490,Forklift,10278,19.14,0.9981,871.8
EQP-00491,Generator,802,10.92,0.9866,1475.48
EQP-00492,Manlift,7125,19.38,0.9973,2245.41
EQP-00493,Concrete Pump,3823,47.49,0.9877,2680.24
EQP-00494,Generator,4278,58.42,0.9865,2063.1
EQP-00495,Crane,8571,99.13,0.9886,7508.78
EQP-00496,Crane,15218,39.26,0.9974,5358.3
EQP-00497,Generator,6542,20.86,0.9968,2202.89
EQP-00498,Compressor,4185,26.39,0.9937,1187.18
EQP-00499,Generator,17100,9.1,0.9995,5735.26
EQP-00500,Crane,6559,64.98,0.9902,4771.49
EQP-00501,Welding Machine,15416,31.03,0.998,42488.26
EQP-00502,Crane,14768,18.93,0.9987,4032.84
EQP-00503,Forklift,15895,71.54,0.9955,785.94
EQP-00504,Welding Machine,2147,52.24,0.9762,25150.16
EQP-00505,Generator,5892,33.07,0.9944,3608.9
EQP-00506,Compressor,15796,19.03,0.9988,5281.28
EQP-00507,Compressor,14633,16.81,0.9989,2741.45
EQP-00508,Welding Machine,14548,7.94,0.9995,131.33
EQP-00509,Generator,17267,22.45,0.9987,1648.86
EQP-00510,Forklift,14164,24.1,0.9983,7217.07
EQP-00511,Concrete Pump,14315,66.25,0.9954,4245.06
EQP-00512,Forklift,10179,53.44,0.9948,1192.58
EQP-00513,Forklift,13096,13.69,0.999,5418.14
EQP-00514,Manlift,934,11.93,0.9874,685.64
EQP-00515,Crane,11113,174.93,0.9845,3179.7
EQP-00516,Welding Machine,6003,22.16,0.9963,1446.26
EQP-00517,Concrete Pump,8375,8.19,0.999,4135.8
EQP-00518,Compressor,2324,25.97,0.9889,9484.94
EQP-00519,Crane,7018,49.0,0.9931,1977.16
EQP-00520,Crane,18901,3.91,0.9998,3190.06
EQP-00521,Excavator,5531,32.45,0.9942,224.26
EQP-00522,Forklift,6899,44.99,0.9935,746.65
EQP-00523,Welding Machine,5900,67.31,0.9887,2658.87
EQP-00524,Compressor,15997,19.58,0.9988,3767.34
EQP-00525,Welding Machine,14695,36.86,0.9975,3339.28
EQP-00526,Welding Machine,14314,61.25,0.9957,340.44
EQP-00527,Manlift,18548,40.41,0.9978,1265.75
EQP-00528,Crane,2755,26.62,0.9904,16011.43
EQP-00529,Welding Machine,10436,16.68,0.9984,4762.59
EQP-00530,Crane,17050,62.83,0.9963,5362.9
EQP-00531,Generator,17024,34.98,0.9979,3858.82
EQP-00532,Generator,18343,49.82,0.9973,1128.96
EQP-00533,Forklift,9407,32.62,0.9965,42101.15
EQP-00534,Compressor,12206,45.47,0.9963,3352.97
EQP-00535,Manlift,13422,24.49,0.9982,1143.02
EQP-00536,Excavator,3403,40.18,0.9883,4371.73
EQP-00537,Compressor,6136,30.94,0.995,76479.81
EQP-00538,Compressor,7129,17.99,0.9975,961.78
EQP-00539,Welding Machine,3694,24.78,0.9933,2762.22
EQP-00540,Concrete Pump,1489,15.9,0.9894,3901.66
EQP-00541,Excavator,5248,42.68,0.9919,6720.93
EQP-00542,Generator,9870,21.6,0.9978,14205.58
EQP-00543,Generator,5218,51.52,0.9902,87131.97
EQP-00544,Manlift,11731,17.67,0.9985,1073.86
EQP-00545,Generator,13687,26.18,0.9981,4456.2
EQP-00546,Forklift,17193,47.36,0.9973,6146.32
EQP-00547,Concrete Pump,2418,123.57,0.9514,318.94
EQP-00548,Manlift,16002,5.56,0.9997,2575.59
EQP-00549,Forklift,17025,116.88,0.9932,7124.67
EQP-00550,Crane,16730,13.62,0.9992,3668.76
EQP-00551,Excavator,3843,28.89,0.9925,2302.66
EQP-00552,Forklift,4965,21.25,0.9957,3324.12
EQP-00553,Compressor,5868,69.75,0.9883,1724.36
EQP-00554,Welding Machine,18245,51.72,0.9972,7696.12
EQP-00555,Manlift,10818,79.04,0.9927,1053.95
EQP-00556,Excavator,700,33.63,0.9542,1367.7
EQP-00557,Welding Machine,16698,35.78,0.9979,3305.0
EQP-00558,Welding Machine,11857,12.24,0.999,3572.8
EQP-00559,Excavator,14208,127.62,0.9911,5335.29
EQP-00560,Excavator,508,9.92,0.9808,984.2
EQP-00561,Crane,13864,32.33,0.9977,1009.28
EQP-00562,Forklift,5574,76.22,0.9865,559.81
EQP-00563,Forklift,4371,47.73,0.9892,446.48
EQP-00564,Crane,12373,31.94,0.9974,859.29
EQP-00565,Welding Machine,6331,53.98,0.9915,10306.64
EQP-00566,Forklift,1938,42.66,0.9785,10954.48
EQP-00567,Manlift,12698,1.92,0.9998,3518.7
EQP-00568,Excavator,160,47.25,0.772,6186.61
EQP-00569,Welding Machine,2113,45.28,0.979,6358.38
EQP-00570,Crane,14942,36.72,0.9975,643.1
EQP-00571,Excavator,2534,21.12,0.9917,13125.3
EQP-00572,Generator,3187,70.78,0.9783,5168.15
EQP-00573,Concrete Pump,2007,54.78,0.9734,9558.71
EQP-00574,Crane,13103,46.25,0.9965,12622.56
EQP-00575,Forklift,18972,73.37,0.9961,65317.87
EQP-00576,Welding Machine,14180,21.87,0.9985,1655.29
EQP-00577,Welding Machine,10926,43.81,0.996,30407.89
EQP-00578,Compressor,657,79.01,0.8927,8036.02
EQP-00579,Crane,18905,82.64,0.9956,5406.43
EQP-00580,Concrete Pump,18380,26.43,0.9986,43532.52
EQP-00581,Compressor,7061,45.38,0.9936,11711.24
EQP-00582,Forklift,15339,1.9,0.9999,207.81
EQP-00583,Compressor,4318,37.9,0.9913,1009.76
EQP-00584,Excavator,2046,40.53,0.9806,1652.68
EQP-00585,Welding Machine,5980,168.01,0.9727,10502.81
EQP-00586,Crane,2222,87.98,0.9619,253.23
EQP-00587,Crane,11267,58.99,0.9948,2412.36
EQP-00588,Excavator,7987,89.1,0.989,6514.91
EQP-00589,Welding Machine,4506,32.38,0.9929,718.94
EQP-00590,Excavator,4150,37.36,0.9911,12722.37
EQP-00591,Manlift,10730,92.52,0.9915,1953.31
EQP-00592,Compressor,4018,150.76,0.9638,11421.77
EQP-00593,Compressor,19536,15.33,0.9992,795.69
EQP-00594,Excavator,2055,30.46,0.9854,1947.62
EQP-00595,Concrete Pump,18582,48.13,0.9974,3137.42
EQP-00596,Welding Machine,5315,26.75,0.995,473.69
EQP-00597,Forklift,9420,54.3,0.9943,432.43
EQP-00598,Concrete Pump,3891,71.55,0.9819,283.44
EQP-00599,Excavator,10019,6.22,0.9994,1027.66
EQP-00600,Compressor,16778,23.18,0.9986,1376.02
EQP-00601,Compressor,15161,23.09,0.9985,4177.25
EQP-00602,Welding Machine,5780,15.6,0.9973,4225.44
EQP-00603,Compressor,16900,1.94,0.9999,1011.06
EQP-00604,Compressor,8034,5.86,0.9993,11293.28
EQP-00605,Compressor,7661,17.56,0.9977,6244.66
EQP-00606,Welding Machine,16762,4.67,0.9997,19146.37
EQP-00607,Crane,6674,36.01,0.9946,37356.48
EQP-00608,Manlift,18383,32.9,0.9982,479.8
EQP-00609,Forklift,4594,13.35,0.9971,2227.99
EQP-00610,Welding Machine,16047,13.85,0.9991,9844.29
EQP-00611,Manlift,19331,35.18,0.9982,928.95
EQP-00612,Excavator,12884,59.28,0.9954,1898.23
EQP-00613,Concrete Pump,12583,57.39,0.9955,1568.53
EQP-00614,Crane,16917,49.35,0.9971,1821.4
EQP-00615,Concrete Pump,15634,66.23,0.9958,326.73
EQP-00616,Crane,5156,10.24,0.998,2476.17
EQP-00617,Excavator,517,18.28,0.9658,1757.05
EQP-00618,Compressor,8027,53.51,0.9934,1714.31
EQP-00619,Excavator,8741,42.53,0.9952,1003.11
EQP-00620,Concrete Pump,5174,3.58,0.9993,7439.65
EQP-00621,Crane,10579,105.67,0.9901,3869.69
EQP-00622,Generator,2951,30.81,0.9897,3389.8
EQP-00623,Generator,100,83.06,0.5463,3927.51
EQP-00624,Generator,17756,59.13,0.9967,7473.71
EQP-00625,Forklift,18762,70.17,0.9963,2574.73
EQP-00626,Manlift,15190,21.09,0.9986,5788.87
EQP-00627,Forklift,4842,66.75,0.9864,12852.2
EQP-00628,Concrete Pump,12342,90.08,0.9928,8833.54
EQP-00629,Generator,6530,20.09,0.9969,3863.95
EQP-00630,Manlift,1699,36.63,0.9789,3020.51
EQP-00631,Welding Machine,9565,49.82,0.9948,2302.4
EQP-00632,Welding Machine,16040,28.11,0.9983,28901.79
EQP-00633,Excavator,14469,31.56,0.9978,10925.15
EQP-00634,Excavator,4171,72.64,0.9829,3998.28
EQP-00635,Manlift,12781,29.02,0.9977,1049.48
EQP-00636,Manlift,14687,6.54,0.9996,6358.11
EQP-00637,Manlift,11412,45.01,0.9961,7669.29
EQP-00638,Welding Machine,14141,22.27,0.9984,33683.64
EQP-00639,Excavator,16094,47.97,0.997,2617.88
EQP-00640,Welding Machine,18431,3.28,0.9998,1889.29
EQP-00641,Generator,2790,60.05,0.9789,17821.29
EQP-00642,Manlift,18286,34.54,0.9981,22445.83
EQP-00643,Manlift,11727,14.45,0.9988,5051.39
EQP-00644,Forklift,6974,46.98,0.9933,6424.82
EQP-00645,Generator,11816,38.28,0.9968,4710.39
EQP-00646,Generator,3779,14.13,0.9963,15472.37
EQP-00647,Excavator,7616,65.09,0.9915,4481.76
EQP-00648,Welding Machine,5807,66.16,0.9887,16190.73
EQP-00649,Welding Machine,18455,52.19,0.9972,39751.02
EQP-00650,Generator,3628,55.34,0.985,1110.71
EQP-00651,Manlift,18229,41.3,0.9977,10362.49
EQP-00652,Excavator,15277,84.67,0.9945,3811.0
EQP-00653,Excavator,11353,15.12,0.9987,2354.78
EQP-00654,Crane,12186,9.43,0.9992,8010.15
EQP-00655,Generator,11382,24.2,0.9979,1319.79
EQP-00656,Compressor,4608,63.59,0.9864,21782.26
EQP-00657,Forklift,1412,18.62,0.987,3842.01
EQP-00658,Compressor,1818,29.49,0.984,17316.99
EQP-00659,Concrete Pump,14872,32.25,0.9978,912.8
EQP-00660,Generator,7834,33.47,0.9957,12694.32
EQP-00661,Crane,10907,28.11,0.9974,1477.01
EQP-00662,Compressor,13497,31.11,0.9977,945.58
EQP-00663,Generator,532,29.46,0.9475,1609.43
EQP-00664,Concrete Pump,11212,141.14,0.9876,305.71
EQP-00665,Welding Machine,691,16.22,0.9771,1475.72
EQP-00666,Crane,8142,14.32,0.9982,5114.21
EQP-00667,Forklift,5108,18.33,0.9964,536.69
EQP-00668,Welding Machine,16874,36.5,0.9978,2152.42
EQP-00669,Crane,17986,19.11,0.9989,16700.16
EQP-00670,Forklift,11089,47.5,0.9957,4622.01
EQP-00671,Concrete Pump,5212,48.27,0.9908,5139.93
EQP-00672,Excavator,10717,27.93,0.9974,1302.27
EQP-00673,Excavator,3620,37.11,0.9899,2235.62
EQP-00674,Excavator,18924,4.34,0.9998,863.99
EQP-00675,Manlift,11388,24.75,0.9978,9369.53
EQP-00676,Concrete Pump,10560,37.24,0.9965,1059.57
EQP-00677,Crane,12303,12.08,0.999,12374.23
EQP-00678,Generator,10160,28.99,0.9972,96.18
EQP-00679,Excavator,5757,30.49,0.9947,6959.33
EQP-00680,Welding Machine,4465,11.71,0.9974,3232.68
EQP-00681,Forklift,2119,37.69,0.9825,809.78
EQP-00682,Concrete Pump,1941,78.96,0.9609,3698.11
EQP-00683,Concrete Pump,4851,24.65,0.9949,2432.17
EQP-00684,Welding Machine,10826,10.18,0.9991,624.95
EQP-00685,Welding Machine,16181,22.76,0.9986,1838.42
EQP-00686,Concrete Pump,10726,27.62,0.9974,15843.03
EQP-00687,Crane,12214,53.01,0.9957,353.67
EQP-00688,Forklift,12834,73.15,0.9943,1696.23
EQP-00689,Crane,535,56.68,0.9042,1858.7
EQP-00690,Compressor,9575,36.36,0.9962,708.32
EQP-00691,Manlift,2259,42.65,0.9815,8487.68
EQP-00692,Manlift,17582,6.59,0.9996,8664.18
EQP-00693,Excavator,4978,18.43,0.9963,24420.47
EQP-00694,Generator,17223,57.43,0.9967,5955.38
EQP-00695,Concrete Pump,7128,29.28,0.9959,70381.72
EQP-00696,Crane,12264,22.73,0.9982,886.21
EQP-00697,Excavator,15196,19.01,0.9988,10712.57
EQP-00698,Crane,11789,35.83,0.997,2785.75
EQP-00699,Generator,5617,23.02,0.9959,2616.93
EQP-00700,Manlift,5545,21.7,0.9961,6705.8
EQP-00701,Generator,19601,27.12,0.9986,1377.09
EQP-00702,Generator,8356,65.17,0.9923,917.55
EQP-00703,Manlift,6065,36.22,0.9941,299.26
EQP-00704,Crane,435,8.93,0.9799,1925.01
EQP-00705,Generator,2968,21.36,0.9929,1568.22
EQP-00706,Crane,3975,57.8,0.9857,8199.34
EQP-00707,Excavator,6686,41.66,0.9938,864.85
EQP-00708,Excavator,14170,30.42,0.9979,30013.28
EQP-00709,Compressor,12944,148.09,0.9887,9670.24
EQP-00710,Excavator,8132,13.67,0.9983,2620.08
EQP-00711,Manlift,8805,39.65,0.9955,3263.25
EQP-00712,Concrete Pump,13371,70.4,0.9948,7173.69
EQP-00713,Compressor,7927,12.97,0.9984,1415.18
EQP-00714,Concrete Pump,3132,65.42,0.9795,16599.08
EQP-00715,Welding Machine,5179,40.02,0.9923,19740.98
EQP-00716,Crane,11137,36.7,0.9967,1024.8
EQP-00717,Compressor,3468,52.49,0.9851,117176.6
EQP-00718,Concrete Pump,6913,10.27,0.9985,18679.39
EQP-00719,Manlift,14389,50.4,0.9965,1322.11
EQP-00720,Crane,14264,4.44,0.9997,202.07
EQP-00721,Excavator,16683,21.3,0.9987,4796.73
EQP-00722,Generator,14913,62.15,0.9958,11719.1
EQP-00723,Manlift,13027,41.8,0.9968,3533.3
EQP-00724,Manlift,9423,25.47,0.9973,4944.05
EQP-00725,Crane,10535,18.97,0.9982,697.51
EQP-00726,Compressor,14890,35.4,0.9976,7865.63
EQP-00727,Forklift,16773,8.61,0.9995,1564.75
EQP-00728,Concrete Pump,4076,34.41,0.9916,3053.5
EQP-00729,Welding Machine,8069,49.44,0.9939,28724.59
EQP-00730,Manlift,12278,2.52,0.9998,30746.07
EQP-00731,Compressor,14390,106.48,0.9927,8906.91
EQP-00732,Compressor,19273,39.47,0.998,1375.61
EQP-00733,Welding Machine,18568,62.33,0.9967,4155.48
EQP-00734,Generator,1089,25.92,0.9768,8464.29
EQP-00735,Crane,15082,68.73,0.9955,111.34
EQP-00736,Concrete Pump,5687,85.16,0.9852,1210.91
EQP-00737,Crane,10729,77.83,0.9928,2096.27
EQP-00738,Manlift,6417,39.55,0.9939,4949.1
EQP-00739,Concrete Pump,17538,73.56,0.9958,7374.88
EQP-00740,Excavator,8771,25.56,0.9971,231.87
EQP-00741,Compressor,2343,49.02,0.9795,3719.11
EQP-00742,Welding Machine,17010,10.13,0.9994,4295.5
EQP-00743,Crane,7621,34.07,0.9955,16185.77
EQP-00744,Concrete Pump,2664,118.1,0.9576,10235.98
EQP-00745,Concrete Pump,11580,32.55,0.9972,3439.04
EQP-00746,Generator,8955,16.91,0.9981,1433.51
EQP-00747,Excavator,15805,31.07,0.998,2357.26
EQP-00748,Welding Machine,608,9.53,0.9846,16428.13
EQP-00749,Excavator,4035,93.34,0.9774,15685.07
EQP-00750,Generator,16067,95.48,0.9941,52484.19
EQP-00751,Generator,1513,17.2,0.9888,48885.18
EQP-00752,Generator,1408,25.43,0.9823,6803.76
EQP-00753,Concrete Pump,10829,7.21,0.9993,1711.24
EQP-00754,Compressor,241,68.89,0.7777,7241.31
EQP-00755,Crane,4574,25.02,0.9946,3437.15
EQP-00756,Forklift,10836,20.74,0.9981,10600.19
EQP-00757,Manlift,16010,89.06,0.9945,1194.36
EQP-00758,Generator,6493,33.68,0.9948,584.11
EQP-00759,Manlift,1178,40.89,0.9665,5920.82
EQP-00760,Forklift,11635,43.43,0.9963,5346.42
EQP-00761,Forklift,5699,30.92,0.9946,2734.22
EQP-00762,Generator,192,30.35,0.8635,1651.28
EQP-00763,Forklift,16242,24.59,0.9985,5582.61
EQP-00764,Forklift,16069,85.25,0.9947,971.57
EQP-00765,Compressor,5578,31.41,0.9944,760.52
EQP-00766,Generator,2577,22.52,0.9913,2040.71
EQP-00767,Concrete Pump,5556,38.75,0.9931,3657.77
EQP-00768,Welding Machine,1518,33.44,0.9784,5025.62
EQP-00769,Manlift,9375,15.92,0.9983,3824.95
EQP-00770,Concrete Pump,774,57.46,0.9309,1065.7
EQP-00771,Crane,6800,5.68,0.9992,10484.31
EQP-00772,Excavator,7978,12.12,0.9985,1592.57
EQP-00773,Manlift,15675,56.3,0.9964,1005.82
EQP-00774,Excavator,18880,65.15,0.9966,1342.01
EQP-00775,Crane,4710,16.91,0.9964,764.69
EQP-00776,Manlift,6016,19.09,0.9968,6060.73
EQP-00777,Concrete Pump,9612,21.59,0.9978,10542.53
EQP-00778,Crane,13986,34.5,0.9975,3491.75
EQP-00779,Generator,16321,16.44,0.999,12817.66
EQP-00780,Concrete Pump,18793,57.78,0.9969,7321.55
EQP-00781,Excavator,5887,29.53,0.995,666.15
EQP-00782,Concrete Pump,4403,38.36,0.9914,5740.69
EQP-00783,Excavator,11345,49.87,0.9956,4892.55
EQP-00784,Manlift,16273,43.82,0.9973,1334.59
EQP-00785,Crane,1804,19.69,0.9892,772.85
EQP-00786,Forklift,12575,69.11,0.9945,31781.36
EQP-00787,Excavator,13504,188.88,0.9862,4049.03
EQP-00788,Forklift,1592,43.9,0.9732,2600.09
EQP-00789,Concrete Pump,5844,39.9,0.9932,1001.45
EQP-00790,Excavator,9371,29.99,0.9968,1174.07
EQP-00791,Crane,4835,26.98,0.9945,1289.66
EQP-00792,Excavator,407,49.53,0.8915,6713.91
EQP-00793,Forklift,14374,42.92,0.997,1417.19
EQP-00794,Forklift,15755,11.1,0.9993,6811.27
EQP-00795,Welding Machine,5705,34.36,0.994,360.13
EQP-00796,Compressor,10286,38.12,0.9963,4703.34
EQP-00797,Welding Machine,5591,7.69,0.9986,5871.71
EQP-00798,Crane,3978,9.02,0.9977,1251.52
EQP-00799,Generator,387,9.08,0.9771,1111.87
EQP-00800,Welding Machine,19571,11.2,0.9994,10617.55
EQP-00801,Compressor,6321,28.28,0.9955,1804.57
EQP-00802,Welding Machine,11145,73.3,0.9935,11219.34
EQP-00803,Crane,19087,25.24,0.9987,4378.84
EQP-00804,Crane,2140,21.09,0.9902,2768.83
EQP-00805,Generator,2820,13.25,0.9953,5216.57
EQP-00806,Concrete Pump,12441,75.28,0.994,9918.93
EQP-00807,Manlift,300,35.59,0.8939,326.05
EQP-00808,Crane,2732,20.27,0.9926,2764.75
EQP-00809,Manlift,17424,9.8,0.9994,521.49
EQP-00810,Crane,4197,89.49,0.9791,8465.15
EQP-00811,Manlift,16137,49.5,0.9969,7255.67
EQP-00812,Crane,9761,11.56,0.9988,1071.45
EQP-00813,Forklift,15852,40.46,0.9975,4466.44
EQP-00814,Welding Machine,2921,9.22,0.9969,3725.67
EQP-00815,Welding Machine,1940,32.19,0.9837,9502.93
EQP-00816,Forklift,9710,42.97,0.9956,21443.18
EQP-00817,Forklift,3828,25.36,0.9934,803.82
EQP-00818,Compressor,18063,94.68,0.9948,4789.45
EQP-00819,Crane,3918,32.34,0.9918,1116.33
EQP-00820,Compressor,2829,25.6,0.991,1895.75
EQP-00821,Crane,10555,11.82,0.9989,237.0
EQP-00822,Forklift,6061,24.04,0.996,7497.5
EQP-00823,Concrete Pump,3567,79.63,0.9782,10005.8
EQP-00824,Compressor,17288,69.43,0.996,867.66
EQP-00825,Concrete Pump,6650,41.02,0.9939,5794.96
EQP-00826,Crane,10605,52.05,0.9951,2770.8
EQP-00827,Generator,14542,37.4,0.9974,35389.09
EQP-00828,Manlift,6012,65.42,0.9892,5536.68
EQP-00829,Compressor,13336,55.02,0.9959,1749.91
EQP-00830,Manlift,18782,53.01,0.9972,3518.77
EQP-00831,Concrete Pump,8001,60.96,0.9924,1334.09
EQP-00832,Manlift,17277,57.57,0.9967,2047.17
EQP-00833,Concrete Pump,9615,57.76,0.994,4190.97
EQP-00834,Manlift,10007,35.02,0.9965,2178.7
EQP-00835,Forklift,7442,32.45,0.9957,1850.15
EQP-00836,Excavator,19952,26.58,0.9987,5353.95
EQP-00837,Excavator,12385,6.49,0.9995,7457.21
EQP-00838,Welding Machine,1388,57.88,0.96,2255.57
EQP-00839,Generator,2283,38.13,0.9836,991.82
EQP-00840,Manlift,17460,45.41,0.9974,1133.58
EQP-00841,Compressor,3672,0.92,0.9997,13518.57
EQP-00842,Compressor,3106,13.33,0.9957,2787.4
EQP-00843,Compressor,11934,39.21,0.9967,5339.18
EQP-00844,Forklift,17646,34.11,0.9981,4288.63
EQP-00845,Welding Machine,14016,27.17,0.9981,506.41
EQP-00846,Compressor,16273,33.12,0.998,6312.29
EQP-00847,Welding Machine,12723,14.11,0.9989,3908.98
EQP-00848,Welding Machine,1670,109.16,0.9386,2729.37
EQP-00849,Forklift,7790,32.73,0.9958,464.47
EQP-00850,Forklift,7846,12.59,0.9984,1147.32
EQP-00851,Generator,10115,50.79,0.995,1007.62
EQP-00852,Generator,13811,44.73,0.9968,1266.92
EQP-00853,Concrete Pump,6867,7.52,0.9989,6985.52
EQP-00854,Concrete Pump,4061,24.73,0.9939,5389.02
EQP-00855,Generator,12386,7.23,0.9994,213.96
EQP-00856,Compressor,10634,36.79,0.9966,790.76
EQP-00857,Welding Machine,14986,36.4,0.9976,3511.94
EQP-00858,Compressor,19402,33.54,0.9983,10691.18
EQP-00859,Compressor,690,44.16,0.9398,28355.14
EQP-00860,Concrete Pump,12093,25.28,0.9979,642.2
EQP-00861,Excavator,16990,19.18,0.9989,2119.81
EQP-00862,Welding Machine,12235,115.18,0.9907,3218.83
EQP-00863,Generator,19827,70.82,0.9964,1797.94
EQP-00864,Generator,19351,21.28,0.9989,446.94
EQP-00865,Excavator,172,112.75,0.604,17225.72
EQP-00866,Compressor,14277,39.82,0.9972,2268.06
EQP-00867,Compressor,14677,36.03,0.9976,615.21
EQP-00868,Generator,13100,47.7,0.9964,15289.93
EQP-00869,Welding Machine,4961,85.14,0.9831,466.68
EQP-00870,Compressor,3039,70.38,0.9774,619.61
EQP-00871,Manlift,10767,3.0,0.9997,11679.01
EQP-00872,Compressor,12123,22.04,0.9982,9601.76
EQP-00873,Welding Machine,6489,61.39,0.9906,7183.13
EQP-00874,Forklift,4566,35.7,0.9922,695.87
EQP-00875,Generator,17791,26.57,0.9985,16797.33
EQP-00876,Forklift,8502,66.54,0.9922,2258.07
EQP-00877,Welding Machine,12552,27.43,0.9978,6393.34
EQP-00878,Welding Machine,18002,37.68,0.9979,2398.32
EQP-00879,Forklift,7831,49.51,0.9937,5501.9
EQP-00880,Crane,9446,19.65,0.9979,4573.84
EQP-00881,Generator,4848,46.24,0.9906,3026.29
EQP-00882,Excavator,19736,17.86,0.9991,2049.35
EQP-00883,Excavator,5015,14.77,0.9971,4729.94
EQP-00884,Forklift,8059,7.28,0.9991,19407.67
EQP-00885,Concrete Pump,11534,79.75,0.9931,5247.47
EQP-00886,Manlift,5759,63.87,0.989,8397.68
EQP-00887,Welding Machine,3040,38.12,0.9876,2477.88
EQP-00888,Concrete Pump,4226,26.92,0.9937,20467.22
EQP-00889,Manlift,15099,17.29,0.9989,1222.66
EQP-00890,Crane,6162,67.79,0.9891,9065.46
EQP-00891,Compressor,10141,28.16,0.9972,5987.56
EQP-00892,Excavator,13198,55.51,0.9958,660.33
EQP-00893,Generator,4812,83.23,0.983,7050.25
EQP-00894,Excavator,18862,47.67,0.9975,7121.33
EQP-00895,Crane,17464,43.62,0.9975,2824.23
EQP-00896,Crane,10759,38.37,0.9964,598.81
EQP-00897,Generator,5075,119.5,0.977,2768.34
EQP-00898,Compressor,2236,118.16,0.9498,3804.15
EQP-00899,Forklift,835,21.11,0.9753,15014.74
EQP-00900,Compressor,18511,46.29,0.9975,59354.7
EQP-00901,Excavator,126,20.65,0.8592,15919.66
EQP-00902,Crane,15245,86.94,0.9943,7842.56
EQP-00903,Compressor,4822,87.42,0.9822,2844.97
EQP-00904,Generator,19818,17.22,0.9991,1709.35
EQP-00905,Generator,867,36.88,0.9592,8384.25
EQP-00906,Concrete Pump,19742,18.31,0.9991,2167.55
EQP-00907,Concrete Pump,4894,19.61,0.996,10535.33
EQP-00908,Welding Machine,3757,117.55,0.9697,981.13
EQP-00909,Welding Machine,17966,52.42,0.9971,12440.6
EQP-00910,Generator,11807,30.15,0.9975,633.4
EQP-00911,Generator,3058,81.11,0.9742,592.72
EQP-00912,Excavator,12200,97.44,0.9921,1370.74
EQP-00913,Manlift,4315,7.89,0.9982,1860.01
EQP-00914,Manlift,14624,34.68,0.9976,4056.33
EQP-00915,Generator,15900,55.56,0.9965,4525.67
EQP-00916,Compressor,16114,111.28,0.9931,2996.41
EQP-00917,Manlift,17235,44.84,0.9974,4348.98
EQP-00918,Compressor,14913,6.9,0.9995,795.78
EQP-00919,Forklift,7517,36.99,0.9951,5608.49
EQP-00920,Excavator,4807,4.19,0.9991,31831.95
EQP-00921,Excavator,6341,51.72,0.9919,3280.03
EQP-00922,Forklift,4528,50.04,0.9891,1740.72
EQP-00923,Manlift,7469,40.74,0.9946,4978.96
EQP-00924,Generator,7171,81.76,0.9887,2689.93
EQP-00925,Manlift,2180,9.52,0.9957,1155.5
EQP-00926,Excavator,8426,29.24,0.9965,683.95
EQP-00927,Excavator,10601,15.21,0.9986,1167.44
EQP-00928,Forklift,13760,27.69,0.998,6101.78
EQP-00929,Concrete Pump,2466,26.65,0.9893,6646.45
EQP-00930,Forklift,406,35.46,0.9197,1061.23
EQP-00931,Excavator,10180,46.19,0.9955,4175.65
EQP-00932,Concrete Pump,15787,54.74,0.9965,8897.04
EQP-00933,Excavator,16827,83.5,0.9951,6366.79
EQP-00934,Generator,6269,40.13,0.9936,6916.19
EQP-00935,Welding Machine,16027,24.56,0.9985,1745.08
EQP-00936,Crane,11193,91.23,0.9919,1687.67
EQP-00937,Forklift,2676,17.35,0.9936,6362.43
EQP-00938,Compressor,8518,24.73,0.9971,8777.96
EQP-00939,Generator,1667,79.4,0.9545,1396.64
EQP-00940,Forklift,8785,56.98,0.9936,1642.43
EQP-00941,Compressor,1504,29.73,0.9806,4800.32
EQP-00942,Excavator,10360,23.13,0.9978,4288.35
EQP-00943,Forklift,18763,31.68,0.9983,9042.03
EQP-00944,Welding Machine,7645,63.48,0.9918,1759.25
EQP-00945,Generator,416,45.41,0.9016,11032.12
EQP-00946,Manlift,4487,14.98,0.9967,2736.95
EQP-00947,Compressor,3391,43.99,0.9872,958.81
EQP-00948,Crane,3351,25.53,0.9924,25272.5
EQP-00949,Crane,2957,22.47,0.9925,1901.22
EQP-00950,Concrete Pump,9405,52.04,0.9945,840.07
EQP-00951,Manlift,16625,32.06,0.9981,1213.79
EQP-00952,Compressor,9718,41.73,0.9957,127.72
EQP-00953,Forklift,14876,37.61,0.9975,4837.01
EQP-00954,Excavator,8642,26.07,0.997,2220.3
EQP-00955,Forklift,2185,23.54,0.9893,2764.55
EQP-00956,Compressor,10596,92.03,0.9914,9419.79
EQP-00957,Welding Machine,16288,31.71,0.9981,2008.48
EQP-00958,Compressor,8140,60.61,0.9926,3953.46
EQP-00959,Excavator,9836,14.07,0.9986,2408.14
EQP-00960,Excavator,1397,85.62,0.9423,5965.73
EQP-00961,Excavator,2071,25.76,0.9877,567.2
