supplier_id,supplier_name,supplier_category,location,supplier_rating,capacity,payment_terms_days,reliability_score
SUP-0315,"Snyder, Mays and Rosales",General Materials,Nelsonville,3.8,5630,30,0.7004
SUP-0316,Martin-Stevens,HVAC,Jennifertown,3.82,18106,30,0.705
SUP-0317,"Rogers, Phillips and Craig",HVAC,East Cheryl,2.77,1087,60,0.4413
SUP-0318,"Prince, Wilcox and Robertson",Electrical,South Elizabethburgh,4.14,16631,60,0.7858
SUP-0319,Woods and Sons,Fire Fighting,West Patrickmouth,4.47,3773,30,0.8673
SUP-0320,Finley-Turner,Civil,West Desireebury,4.29,3809,90,0.8222
SUP-0321,Contreras Group,Civil,Erikhaven,4.37,17690,30,0.8429
SUP-0322,"Carrillo, Vaughn and Fowler",General Materials,Michaelbury,4.65,6499,60,0.9133
SUP-0323,Bernard Group,Plumbing,South Julie,3.76,3524,90,0.6904
SUP-0324,"Brooks, Miles and Durham",Civil,Port John,4.33,3134,45,0.8321
SUP-0325,"Marks, Miller and Griffin",Civil,Christianshire,3.83,16733,90,0.7075
SUP-0326,Brown PLC,Plumbing,New Amanda,4.18,5122,45,0.7952
SUP-0327,Murphy PLC,Plumbing,Wilsonborough,4.84,13019,90,0.9604
SUP-0328,"Aguilar, Davis and Dixon",General Materials,South Davidchester,4.15,14881,90,0.7883
SUP-0329,Elliott-Hansen,HVAC,Jenniferfurt,3.19,11947,60,0.5472
SUP-0330,Velasquez-Reese,General Materials,North Rodneyland,4.37,8922,30,0.8428
SUP-0331,"Mcknight, Michael and Jones",Plumbing,Johnsonchester,4.17,8208,45,0.7935
SUP-0332,Mack Ltd,HVAC,Brooksfurt,4.08,8539,90,0.7704
SUP-0333,Kane-Knox,Electrical,Millerside,4.93,7320,60,0.9819
SUP-0334,Valdez LLC,Fire Fighting,East Victoriafurt,3.68,5625,60,0.6697
SUP-0335,"Anderson, Irwin and Davenport",Civil,West Stevenside,2.83,13529,30,0.4565
SUP-0336,Patel-Morrow,Plumbing,South Michael,4.72,6412,90,0.9303
SUP-0337,Lopez-Golden,Plumbing,North Lisachester,4.1,3900,60,0.7758
SUP-0338,"Miranda, Stephenson and Smith",Plumbing,North Craig,4.61,12915,30,0.9025
SUP-0339,Griffin Ltd,Civil,East Joyfurt,4.82,2543,90,0.9555
SUP-0340,Young-Robinson,General Materials,East Williamport,4.49,11302,45,0.8729
SUP-0341,Cabrera Ltd,General Materials,Barbaramouth,4.65,933,30,0.9129
SUP-0342,Turner and Sons,Fire Fighting,South Kevin,4.51,3530,90,0.8765
SUP-0343,Hawkins PLC,Plumbing,Lake Erika,4.43,7074,60,0.8576
SUP-0344,"Simpson, Compton and David",General Materials,Floydmouth,4.65,3425,90,0.9126
SUP-0345,"Butler, Hernandez and Bennett",Electrical,Allenbury,2.63,14938,60,0.4087
SUP-0346,Mathews-Thomas,Plumbing,Melendezside,4.49,1396,60,0.8724
SUP-0347,Faulkner-Grant,HVAC,South John,4.74,1393,90,0.9348
SUP-0348,Rivera Inc,Plumbing,Booneland,4.14,9762,45,0.7855
SUP-0349,"Hardy, Lee and Adams",Electrical,Port Charlesshire,4.74,9001,60,0.9347
SUP-0350,"Powers, Robinson and Clark",General Materials,Kevintown,4.71,18626,90,0.9274
